unus	one
implere	fill
spongia	sponge, pumice
navicula	ship, boat
cophinus	basket, hamper
civitas	community, town, citizenship
relinquere	leave, bequeath
mundus	world, mankind
soror	sister
ego	I, me
audire	hear, listen
mortuus	dead, inanimate
vox	voice, tone
bibere	drink
Iacob	James
omnis	all
febris	fever
is	this
munus	gift, function, present, service, spectacle, duty, task, burden, favour
caritas		love, charity, dearness
sitire	thirst
iustitia	justice, righteousness
inimicus	enemy
Christus	Christ
surgere	rise
pax	peace
reverti	return
minister	minister
mulier	woman
perdere	lose, destroy, waste
drachma	coin, drachma
anima	soul, life, wind, air
aedificare	build
ecclesia	church
vos	you
sepulchrum	grave
intrare	enter
effundere	pour, shower, shed
sanguis	blood
Jesus	Jesus
convertere	turn, modify
multus	many
nubes	cloud
obumbrare	overshadow
virtus	virtue, courage, manliness
ambulare	stroll
nos	we
filius	son
simulacrum	image, likeness, statue
sequi	follow, pursue, accompany
Iudaeus	Jew
nos	we, us
se	he, him
tu	you
ventus	wind
obedire	obey, listen
accipere	receive, accept, hear
eleemosyna	alm
donum	present, gift
gratia	favour, gratitude, grace, kindness, esteem
regnum	power, kingdom
accumbere	lie
manducare	eat
caro	meat
manere	stay
hora	hour
venire	come
sagena	net
replere	fill
Petrus	Peter
hydria	pot
templum	temple
deus	god
aperire	open, uncover, explain
ostium	entrance, mouth
spiritus	breath, air, soul
didrachma	coin, shekel
crescere	grow
puer	boy
Paulus	Paul
peccatum	sin
regnare	reign
hic	this
occidere	kill
pater	father
vitulus	calf
littera	letter
volucer	bird
comedere	eat
verbum	word
habitare	live, dwell
homo	man, person
lux	light
discedere	leave
domare	tame
natura	nature
nullus	noone
lingua	tongue, language
consepelire	bury
sepelire	bury
