серия	['series', 'episode', '2015', 'Affairs', 'LA']
спрятать	['hide', 'stash', 'hidden', 'hiding', 'safe']
разум	['minds', 'judgment', 'intelligence', 'clear', 'control']
звонок	['doorbell', 'bell', 'anonymous', 'trace', 'ring']
Екатерина	['Catherine', 'Katherine', 'Yekaterina', 'Saint', 'Ivanovna']
отец	['Father', 'Dad', 'His', 'died', 'dad']
представитель	['representative', 'rep', 'spokesman', 'spokesperson', 'Representative']
приехать	['visit', 'coming', 'Can', 'couldn', 'asked']
стремление	['pursuit', 'longing', 'ambition', 'urge', 'commitment']
купаться	['swimming', 'swim', 'bathe', 'bath', 'lake']
приходить	['visit', 'shouldn', 'coming', 'house', 'keep']
валериана	['sire', 'extraordinary', 'Scott', 'Dr', ':']
бросить	['abandon', 'dump', 'quit', 'drop', 'throw']
право	['silent', 'entitled', 'remain', 'rights', 'attorney']
студент	['student', 'Student', 'exchange', 'former', 'students']
роман	['affair', 'novel', 'romance', 'writing', 'relationship']
ударить	['punch', 'strike', 'stab', 'kick', 'beat']
писать	['pee', 'writing', 'write', 'book', 'started']
подорожал	['expensive', 'gas', 'prices', 'Customers', 'guinea']
лечить	['treat', 'treating', 'heal', 'cure', 'treated']
пропасть	['abyss', 'chasm', 'cliff', 'gap', 'disappear']
вирус	['virus', 'viral', 'spread', 'release', 'computer']
рыба	['fish', 'Fish', 'sea', 'dead', 'water']
умереть	['die', 'dying', 'died', 'death', 'dead']
углубляться	['bogged', 'deeper', 'technical', 'dig', 'further']
сломаться	['Break', 'bend', 'crack', 'break', 'breaking']
толкать	['push', 'pushing', 'shoving', 'pushed', 'weight']
выбирать	['choose', 'picking', 'pick', 'choice', 'own']
лекция	['lecture', 'enjoyed', 'speaking', 'class', 'Professor']
разжигать	['fires', 'foment', 'stove', 'ignite', 'hatred']
рабочий	['worker', 'part-time', 'full-time', 'desk', 'hours']
раздуть	['stir', 'muse', 'fan', 'pad', 'flame']
включать	['include', 'switch', 'turning', 'TV', 'lights']
судья	['judge', 'Judge', 'presiding', 'magistrate', 'Justice']
посадить	['plant', 'lock', 'land', 'plane', 'jail']
город	['city', 'town', 'leave', 'whole', 'down']
мужик	['dude', 'Thanks', 'fuck', 'fucking', 'big']
победитель	['winner', 'victor', 'champion', 'Winner', 'loser']
ткань	['tissue', 'fabric', 'cloth', 'scar', 'material']
кровь	['Blood', 'bleed', 'bleeding', 'blood', 'hands']
работа	['working', 'Great', 'Nice', 'done', 'new']
вражда	['feud', 'animosity', 'enmity', 'hostility', 'feuds']
закон	['law', 'Law', 'laws', 'bill', 'breaking']
разжечь	['rekindle', 'ignite', 'spark', 'flame', 'lit']
вскипятить	['boil', 'kettle', 'pan', 'vessels', 'Brecht']
гений	['genius', 'Genius', 'mastermind', 'brilliant', 'criminal']
слава	['glory', 'fame', 'kingdom', 'Glory', 'forever']
свет	['light', 'lights', 'sunlight', 'Turn', 'red']
мотор	['engine', 'motor', 'action', 'Start', 'engines']
разрушать	['destroying', 'ruin', 'ruining', 'destroy', 'tear']
дом	['inside', 'house', 'place', 'home', 'My']
ребенок	['child', 'born', 'kid', 'baby', 'having']
налог	['tax', 'income', 'taxes', 'gains', 'levy']
ложь	['lie', 'lies', 'false', 'lying', 'Everything']
прибыль	['profit', 'profits', 'split', 'turn', 'making']
любить	['loving', 'forever', 'loved', '#', 'woman']
позиция	['position', 'stance', 'attitude', 'official', 'clear']
рынок	['market', 'marketplace', 'Market', 'markets', 'farmer']
оказать	['pressure', 'support', 'assistance', 'honor', 'Could']
загнать	['genie', 'trap', 'sell', 'drive', 'bottle']
клиент	['client', 'customer', 'regular', 'Our', 'wants']
стоить	['cost', 'costs', 'fortune', 'worth', 'dollars']
кризис	['crisis', 'recession', 'writer', 'mid-life', 'financial']
расцветать	['flourish', 'bloom', 'blossom', 'tornadoes', 'summertime']
дети	['babies', 'children', 'kids', 'wife', 'Do']
сделал	['Did', 'wrong', 'done', 'Who', 'everything']
скандал	['scandal', 'international', 'incident', 'scene', 'fight']
победить	['defeat', 'win', 'beat', 'cannot', 'fight']
поезд	['train', 'missed', 'miss', 'catch', 'station']
вылечить	['cure', 'heal', 'cured', 'treat', 'treated']
расти	['grow', 'growing', 'grows', 'rise', 'continue']
хотеть	['wanting', 'wish', 'wanna', 'dead', 'makes']
задыхаться	['choking', 'choke', 'suffocate', 'suffocating', 'gasping']
юбка	['skirt', 'petticoat', 'blouse', 'jacket', 'tight']
заработать	['earn', 'extra', 'cash', 'living', 'making']
фотограф	['photographer', 'photography', 'photograph', 'wedding', 'pictures']
цветок	['flower', 'bloom', 'plant', 'blossom', 'delicate']
течь	['leak', 'flow', 'leaking', 'sprung', 'Plug']
ветка	['branch', 'twig', 'spur', 'saratoga', 'Line']
взорвать	['blow', 'detonate', 'blowing', 'explode', 'blast']
выплатить	['compensation', 'mortgage', 'damages', 'debts', 'repay']
река	['river', 'River', 'flows', 'flowing', 'stream']
холодильник	['fridge', 'refrigerator', 'freezer', 'cooler', 'Put']
лицо	['face', 'Your', 'seen', 'saw', 'Look']
бедность	['poverty', 'Make', 'cheaper', 'Poverty', 'Eh']
покрытие	['coating', 'coverage', 'carpeting', 'fractional', 'carpet']
спешить	['hurry', 'rush', 'conclusions', 'hasty', 'slow']
отравлять	['poison', 'poisoning', 'poisoned', 'miserable', 'giving']
Алкоголизм	['alcoholism', 'Alcoholic', 'genetic', 'Dipsomania', 'intestinal']
кусать	['bite', 'biting', 'feeds', 'snakes', 'bites']
решать	['decide', 'solve', 'decision', 'whether', 'choice']
погружаться	['dive', 'immerse', 'diving', 'deeper', 'ability']
информация	['information', 'classified', 'info', 'intel', 'important']
проваливаться	['falling', 'puddles', 'Fix', 'pledges', 'woodwork']
кролик	['rabbit', 'bunny', 'Rabbit', 'Bunny', 'Easter']
боксер	['boxer', 'fighter', 'Boxer', 'slugger', 'prize-fighter']
скакать	['ride', 'bouncing', 'jumping', 'jump', 'riding']
учеба	['studies', 'studying', 'study', 'classes', 'learning']
сидеть	['sit', 'sitting', 'watch', 'wait', 'next']
особняк	['mansion', 'Mansion', 'brownstone', 'governor', 'estate']
хлеб	['bread', 'rye', 'Bread', 'loaf', 'butter']
оцепенеть	['groggy', 'galvanized', 'numb', 'destruction', 'reasonable']
логика	['logic', 'logical', 'dictates', 'simple', 'sense']
вытянуть	['stretch', 'draw', 'pull', 'able', 'information']
спрос	['demand', 'supply', 'market', 'price', 'hurt']
интерес	['interest', 'sudden', 'interesting', 'interested', 'lose']
завод	['factory', 'plant', 'refinery', 'distillery', 'mill']
решение	['solution', 'decide', 'choice', 'decided', 'decision']
умирать	['dying', 'die', 'death', 'dead', 'wanna']
поднимать	['lifting', 'lift', 'fuss', 'raise', 'pick']
собака	['dog', 'Dog', 'dogs', 'A', 'There']
производство	['production', 'manufacturing', 'manufacture', 'produce', 'industry']
смыть	['wash', 'flush', 'rinse', 'sins', 'toilet']
переживать	['relive', 'worrying', 'worried', 'worry', 'shouldn']
планета	['planet', 'Pluto', 'Planet', 'solar', 'destroyed']
увидеть	['seeing', 'seen', 'wanna', 'face', 'Can']
взяточничество	['bribery', 'corruption', 'bribes', 'extortion', 'judicial']
выкарабкаться	['claw', 'climb', 'pull', 'strong', 'himself']
грабить	['rob', 'robbing', 'pillage', 'banks', 'robbery']
обнаружить	['detect', 'locate', 'discover', 'finding', 'able']
приготовить	['prepare', 'cook', 'cooking', 'meal', 'eggs']
полицейский	['cop', 'policeman', 'PC', 'copper', 'Police']
мышление	['reasoning', 'mentality', 'logical', 'rational', 'creative']
падать	['falling', 'dropping', 'fall', 'drop', 'start']
земля	['land', 'Land', 'soil', 'earth', 'ground']
красить	['paint', 'painting', 'dye', 'nails', 'fence']
машина	['vehicle', 'machine', 'truck', 'hit', 'car']
борода	['beard', 'Bluebeard', 'Beard', 'beards', 'gray']
контракт	['contract', 'signed', 'contracts', 'sign', 'record']
компания	['company', 'Company', 'insurance', 'called', 'Your']
одевать	['clothe', 'dressing', 'feed', 'wear', 'shoes']
играть	['games', 'playing', 'play', 'game', 'let']
портрет	['portrait', 'sketch', 'painted', 'profile', 'painting']
