	sentence	masked_sen	label
0	He absorbed the knowledge or beliefs of his tribe.	He [MASK] the knowledge or beliefs of his tribe.	1
1	He absorbed the costs for the accident.	He [MASK] the costs for the accident.	1
2	The sales tax is absorbed into the state income tax.	The sales tax is [MASK] into the state income tax.	1
3	The immigrants were quickly absorbed into society.	The immigrants were quickly [MASK] into society.	1
4	Her interest in butterflies absorbs her completely.	Her interest in butterflies [MASK] her completely.	1
5	This boss abuses his workers.	This boss [MASK] his workers.	0
6	Don't abuse the system.	Don't [MASK] the system.	1
7	The actress abused the policeman who gave her a parking ticket.	The actress [MASK] the policeman who gave her a parking ticket.	1
8	Her husband often abuses alcohol.	Her husband often [MASK] alcohol.	1
9	Can you accommodate me with a rental car?	Can you [MASK] me with a rental car?	0
10	This hotel can accommodate 250 guests	This hotel can [MASK] 250 guests	0
11	The scientists had to accommodate the new results with the existing theories	The scientists had to [MASK] the new results with the existing theories	0
12	The program committee acknowledged the submission of the authors of the paper	The program committee [MASK] the submission of the authors of the paper	0
13	He never acknowledges his colleagues when they run into him in the hallway	He never [MASK] his colleagues when they run into him in the hallway	0
14	We must acknowledge the kindness she showed towards us	We must [MASK] the kindness she showed towards us	0
15	acknowledge the deed	[MASK] the deed	0
16	The Crown Prince was acknowledged as the true heir to the throne	The Crown Prince was [MASK] as the true heir to the throne	0
17	Permit me to acquaint you with my son.	Permit me to [MASK] you with my son.	0
18	You should acquaint yourself with your new computer.	You should [MASK] yourself with your new computer.	0
19	Please acquaint your colleagues of your plans to move.	Please [MASK] your colleagues of your plans to move.	0
20	think before you act	think before you [MASK]	0
21	She acts in this play	She [MASK] in this play	0
22	You should act like an adult	You should [MASK] like an adult	0
23	She acts as the chair	She [MASK] as the chair	1
24	This scene acts well	This scene [MASK] well	1
25	He addressed the crowd outside the window.	He [MASK] the crowd outside the window.	0
26	He always addresses me with `Sir'.	He always [MASK] me with `Sir'.	0
27	You must adhere to the rules.	You must [MASK] to the rules.	1
28	They adhered to their plan.	They [MASK] to their plan.	0
29	The residents of this village adhered to Catholicism.	The residents of this village [MASK] to Catholicism.	1
30	Will this wallpaper adhere to the wall?	Will this wallpaper [MASK] to the wall?	0
31	administer a program	[MASK] a program	0
32	administer the last unction	[MASK] the last unction	0
33	administer critical remarks to everyone present	[MASK] critical remarks to everyone present	0
34	He admitted his errors	He [MASK] his errors	0
35	We cannot admit non-members into our club building	We cannot [MASK] non-members into our club building	0
36	admit someone to the profession	[MASK] someone to the profession	0
37	This problem admits of no solution	This problem [MASK] of no solution	1
38	The French doors admit onto the yard	The French doors [MASK] onto the yard	0
39	This ticket will admit one adult to the show	This ticket will [MASK] one adult to the show	0
40	Will the new rules affect me?	Will the new rules [MASK] me?	0
41	the medicine affects my heart rate	the medicine [MASK] my heart rate	0
42	This new ruling affects your business	This new ruling [MASK] your business	0
43	The death of his wife caused him to age fast	The death of his wife caused him to [MASK] fast	0
44	we age every day--what a depressing thought!	we [MASK] every day--what a depressing thought!	0
45	The death of his child aged him tremendously	The death of his child [MASK] him tremendously	0
46	We agreed on the terms of the settlement	We [MASK] on the terms of the settlement	0
47	She agreed to all my conditions	She [MASK] to all my conditions	0
48	The two stories don't agree in many details	The two stories don't [MASK] in many details	0
49	Subjects and verbs must always agree in English	Subjects and verbs must always [MASK] in English	0
50	White wine doesn't agree with me	White wine doesn't [MASK] with me	1
51	No two of my colleagues would agree on whom to elect chairman	No two of my colleagues would [MASK] on whom to elect chairman	0
52	Please don't aim at your little brother!	Please don't [MASK] at your little brother!	0
53	I aim to arrive at noon	I [MASK] to arrive at noon	1
54	He aimed his fists towards his opponent's face	He [MASK] his fists towards his opponent's face	0
55	She wanted to aim a pun	She wanted to [MASK] a pun	1
56	This show will air Saturdays at 2 P.M.	This show will [MASK] Saturdays at 2 P.M.	1
57	We cannot air this X-rated song	We cannot [MASK] this X-rated song	0
58	She aired her opinions on welfare	She [MASK] her opinions on welfare	1
59	air the old winter clothes	[MASK] the old winter clothes	0
60	We don't allow dogs here	We don't [MASK] dogs here	0
61	Mandela was allowed few visitors in prison	Mandela was [MASK] few visitors in prison	0
62	I allow for this possibility	I [MASK] for this possibility	0
63	The camera store owner allowed me $50 on my old camera	The camera store owner [MASK] me $50 on my old camera	0
64	Her action amounted to a rebellion	Her action [MASK] to a rebellion	0
65	"""The bills amounted to $2,000"""	"""The bills [MASK] to $2,000"""	0
66	This idea will never amount to anything	This idea will never [MASK] to anything	1
67	I was analyzed in Vienna by a famous psychiatrist.	I was [MASK] in Vienna by a famous psychiatrist.	0
68	She didn't want to answer	She didn't want to [MASK]	0
69	The steering of my new car answers to the slightest touch	The steering of my new car [MASK] to the slightest touch	1
70	answer the telephone	[MASK] the telephone	0
71	The question concerning the meaning of life cannot be answered	The question concerning the meaning of life cannot be [MASK]	0
72	The defendant answered to all the charges of the prosecution	The defendant [MASK] to all the charges of the prosecution	0
73	She must answer for her actions	She must [MASK] for her actions	0
74	A few words would answer	A few words would [MASK]	0
75	The drawing of the suspect answers to the description the victim gave	The drawing of the suspect [MASK] to the description the victim gave	0
76	This may answer her needs	This may [MASK] her needs	0
77	He was found guilty but appealed immediately.	He was found guilty but [MASK] immediately.	0
