	sentence	subject	verb	object	label
0	He <b>absorbed</b> the knowledge or beliefs of his tribe.		absorb	knowledge	1
1	He <b>absorbed</b> the costs for the accident.		absorb	cost	1
2	Her interest in butterflies <b>absorbs</b> her completely.	interest	absorb		1
3	This boss <b>abuses</b> his workers.	boss	abuse	worker	0
4	The actress <b>abused</b> the policeman who gave her a parking ticket.	actress	abuse	policeman	1
5	Her husband often <b>abuses</b> alcohol.	husband	abuse	alcohol	1
6	This hotel can <b>accommodate</b> 250 guests	hotel	accommodate	guest	0
7	The scientists had to <b>accommodate</b> the new results with the existing theories	scientist	accommodate	result	0
8	The program committee <b>acknowledged</b> the submission of the authors of the paper	committee	acknowledge	submission	0
9	He never <b>acknowledges</b> his colleagues when they run into him in the hallway		acknowledge	colleague	0
10	We must <b>acknowledge</b> the kindness she showed towards us		acknowledge	kindness	0
11	<b>acknowledge</b> the deed		acknowledge	deed	0
12	He <b>admitted</b> his errors		admit	error	0
13	We cannot <b>admit</b> non-members into our club building		admit	member	0
14	Will the new rules <b>affect</b> me?	rule	affect		0
15	the medicine <b>affects</b> my heart rate	medicine	affect	rate	0
16	This new ruling <b>affects</b> your business	ruling	affect	business	0
17	The death of his child <b>aged</b> him tremendously	death	age		0
18	He <b>aimed</b> his fists towards his opponent's face		aim	fist	0
19	She wanted to <b>aim</b> a pun		aim	pun	1
20	This show will <b>air</b> Saturdays at 2 P.M.	show	air		1
21	She <b>aired</b> her opinions on welfare		air	opinion	1
22	<b>air</b> the old winter clothes		air	clothes	0
23	We don't <b>allow</b> dogs here		allow	dog	0
24	The steering of my new car <b>answers</b> to the slightest touch	steering	answer		1
25	<b>answer</b> the telephone		answer	telephone	0
26	The defendant <b>answered</b> to all the charges of the prosecution	defendant	answer		0
27	The drawing of the suspect <b>answers</b> to the description the victim gave	drawing	answer		0
28	This may <b>answer</b> her needs		answer	need	0
29	We were <b>approaching</b> our destination		approach	destination	0
30	Winter is <b>approaching</b>	winter	approach		0
31	We <b>ascended</b> the mountain.		ascend	mountain	0
32	Inheritance may not <b>ascend</b> linearly.	inheritance	ascend		1
33	The boat <b>ascended</b> the Delaware.	boat	ascend	Delaware	0
34	The teacher <b>assigned</b> him to lead his classmates in the exercise.	teacher	assign		0
35	The biologist <b>assigned</b> the mushroom to the proper class.	biologist	assign	mushroom	0
36	Immigrants often want to <b>assimilate</b> quickly	immigrants	assimilate		0
37	This country <b>assimilates</b> immigrants very quickly	country	assimilate	immigrants	0
38	When will the new President <b>assume</b> office?	president	assume	office	0
39	He <b>assumes</b> the lotus position		assume	position	0
40	He <b>assumed</b> to himself the right to fill all positions in the town		assume	right	0
41	She <b>assumed</b> indifference, even though she was seething with anger		assume	indifference	0
42	The editors of the left-leaning paper <b>attacked</b> the new House Speaker	editor	attack	speaker	1
43	The Serbs <b>attacked</b> the village at night	Serbs	attack	village‚	0
44	I <b>attacked</b> the problem as soon as I got out of bed		attack	problem	1
45	The cancer cells are <b>attacking</b> his liver	cells	attack	liver	0
46	She <b>attends</b> class regularly		attend	class	0
47	She <b>attends</b> the old lady in the wheelchair		attend	lady	0
48	The children in the audience <b>attended</b> the recital quietly	children	attend	recital	0
49	His high fever <b>attested</b> to his illness	fever	attest		1
50	Let's <b>avoid</b> a confrontation.		avoid	confrontation	0
51	Muslims <b>avoid</b> tobacco during the day.	Muslims	avoid	tobacco	0
52	<b>back</b> the car into the parking spot		back	car	0
53	Which horse are you <b>backing?</b>		back	horse	1
54	The number `one' <b>begins</b> the sequence	number	begin	sequence	0
55	The novel <b>begins</b> with a murder	novel	begin		0
56	I <b>believed</b> his report		believe	report	0
57	You cannot <b>believe</b> this man		believe	man	0
58	This book <b>belongs</b> to me	book	belong		0
59	This student somehow doesn't <b>belong</b>	student	belong		0
60	Where do these books <b>belong?</b>	book	belong		0
61	The press photographers <b>besieged</b> the movie star	photographer	besiege	star	0
62	The Chinese would <b>bind</b> the feet of their women.	Chinese	bind	foot	0
63	They <b>bind</b> their books in leather.		bind	book	0
64	The hydrogen <b>binds</b> the oxygen.	hydrogen	bind	oxygen	0
65	Her feet <b>blistered</b> during the long hike.	foot	blister		0
66	The Senator <b>blistered</b> the administration in his speech on Friday.	senator	blister	administration	1
67	The tight shoes and perspiration <b>blistered</b> her feet.	shoe	blister	foot	0
68	The haze <b>blurs</b> the hills	haze	blur	hill	0
69	The fog <b>blurs</b> my vision	fog	blur	vision	0
70	The distinction between the two theories <b>blurred</b>	distinction	blur		1
71	her rucksack <b>bobbed</b> gently on her back	rucksack	bob		0
72	The listeners <b>bolted</b> when he discussed his strange ideas	listener	bolt		0
73	The tax cut will <b>boost</b> the economy.	cut	boost	economy	1
74	<b>Boost</b> the voltage in an electrical circuit.		boost	voltage	0
75	Mosquitoes buzzing in my ear really <b>bothers</b> me	mosquito	bother		0
76	Don't <b>bother</b> the professor while she is grading term papers		bother	professor	0
77	The rubber ball <b>bounced</b>	ball	bounce		0
78	The government <b>bowed</b> to the military pressure	government	bow		1
79	He <b>breathed</b> new life into the old house		breathe	life	1
80	Our new synthetic fabric <b>breathes</b> and is perfect for summer wear	fabric	breathe		1
81	She <b>breathes</b> the Christian spirit		breathe	spirit	1
82	Johnson <b>brushed</b> the hairs from his jacket		brush	hair	0
83	He <b>brushed</b> the wall lightly		brush	wall	0
84	She <b>brushed</b> the suit before hanging it back into the closet		brush	suit	0
85	Her long skirt <b>brushed</b> the floor	skirt	brush	floor	0
86	<b>brush</b> away the crumbs		brush	crumb	0
87	<b>brush</b> the bread with melted butter		brush	bread	0
88	The government is <b>building</b> new schools in this state	government	build	school	0
89	These architects <b>build</b> in interesting and new styles	architect	build		0
90	This sum will <b>buy</b> you a ride on the train	sum	buy	ride	0
91	I can't <b>buy</b> this story		buy	story	1
92	bees were <b>buzzing</b> around the hive	bee	buzz		0
93	Planes <b>buzzed</b> the crowds in the square	plane	buzz	crowd	0
94	This office is <b>buzzing</b> with activity	office	buzz		1
95	<b>capture</b> the essence of Spring		capture	essence	1
96	She <b>captured</b> all the men's hearts		capture	heart	1
97	This nucleus has <b>captured</b> the slow-moving neutrons	nucleus	capture	neutron	0
98	She <b>challenged</b> his claims		challenge	claim	0
99	Father had to learn how to <b>change</b> the baby		change	baby	0
0	The twentieth century saw intensive development of new technologies	century	see	development	1
1	Our conversation turned to the subject of “tongues”.	conversation	turn		1
2	The resumption of school brought relief to thousands of children.	resumption	bring	relief	1
3	Utah’s economy is moving in the right direction.	economy	move		1
4	The service will meet your expectations.	service	meet	expectation	1
5	I hope all her marketing materials live the dream.	material	live	dream	1
6	Three years later, unemployment stands at 8.2 percent. 	unemployment	stand		1
7	Actions talk even louder than phrases. 	action	talk		1
8	This statement sits oddly in the article.	statement	sit		1
9	Personal income has not fallen because of welfare programs.	income	fall		1
10	The silence spoke volumes, none of which he wanted to hear.	silence	speak	volume	1
11	Our car decided to act raggedy on Friday, we had to take it to the shop.	car	decide		1
12	My computer battery died.	battery	die		1
13	If you walk documents into the office, you can also pay by VISA or MasterCard.		walk	document	1
14	The company is letting money walk out the door.	money	walk		1
15	They are accidents waiting to happen.	accident	wait		1
16	Texans broke their own record for electricity demand for the third time this month.	Texan	break	record	1
17	Two Fridays ago, temperatures broke 100 across central Indiana.	temperature	break		1
18	Will insurance cover my care?	insurance	cover	care	1
19	He also says the state needs to cut spending on Medicaid.	state	cut	spending	1
20	Hawaii kills proposal for home energy loans.	Hawaii	kill 	proposal	1
21	How is consumer electronics driving innovation in the U.S. and abroad?	electronics	drive	innovation	1
22	Luck loves those that expect it.	luck	love		1
23	Teenagers wear attitude like a uniform.	teenager	wear	attitude	1
24	He was catching a flight to New York to attend a conference.		catch	flight	1
25	Envy eats away at your soul.	envy	eat		1
26	Some of the most disturbing data pointed to the physical pain.	data	point		1
27	Japanese advertisers pulled their ads off the air.	advertiser	pull	ad	1
28	They wanted to close a deal with the Egyptians quickly.		close	deal	1
29	The police closed the investigation.	police	close	investigation	1
30	Bicycle suffered major damage.	bicycle	suffer	damage	1
31	Just wanted to let you know Tori threw a temper tantrum and hit her head on the floor	Tori	throw	tantrum	1
32	He started to look for other business opportunities and soon Fortune smiled at him.	fortune	smile		1
33	For a brief moment this week, excitement filled the streets of both Havana and Miami.	excitement	fill	street	1
34	Please join me as we work together to fight hunger in your community.		fight	hunger	1
35	Competition is dropping prices.	competition	drop	price	1
36	That happens once a new product really hits the market.	product	hit	market	1
37	Murkowski is pushing legislation through Congress.	Murkowski	push	legislation	1
38	One of the seatbelt bolts refused to budge.	bolt	refuse		1
39	However, the stupid men laid the blame on innocent dogs.	man	lay	blame	1
40	The future of our transportation system hangs in the balance.	future	hang		1
41	The change in teaching has shaken their confidence in the Church. 	change	shake	confidence	1
42	The rumors flew that this far right group was coming again.	rumor	fly		1
43	A special interest is how ideas travel among enterprises within or across different trades and nations.	idea	travel		1
44	Different circumstances demand a different translation.	circumstance	demand		1
45	This is a Prime Minister who has got a solution staring him in the face.	solution	stare		1
46	On Sunday, China's manufacturing data beat expectations	data	beat	expectation	1
47	Comprehensive solutions marry ideas favored by one party and opposed by the other.	solution	marry	idea	1
48	So before anybody starts shooting down proposals, I think we need to listen.		shoot	proposal	1
49	These trucks drink as much as they can and happily spew a load of carbon into the air.	truck	drink		1
50	Dread settled in Hutch's chest with the ache of a bad cold.	dread	settle		1
51	Use whatever association strikes your fancy.	association	strike	fancy	1
52	Then came the War and tragedy struck the little community.	tragedy	strike	community	1
53	Indeed, Mr. Obama has made it clear that he will press advantages where he sees them.		press	advantage	1
54	Countless marriages have survived initial problems.	marriage	survive	problem	1
55	The Bundestag in Germany lifted the ban on the Jesuit order of priests.	Bundestag	lift	ban	1
56	His kindness has really touched me. 	kindness	touch		1
57	The good news is that even while Congress sleeps, there are those on both the right and left that recognize the dangers.	congress	sleep		1
58	No epic adventure has fed the imagination of millions of fans worldwide quite like the Star Wars series has.	adventure	feed	imagination	1
59	Their hearts cry out for worship.	heart	cry		1
60	The thriller didn’t stick its landing with all folks that ended up watching it.	thriller	stick	landing	1
61	Across the compound, a clump of trees nodded gently in the winter breeze.	clump	nod		1
62	His opponents will be attacking his credibility.	opponent	attack	credibility	1
63	Midwesterners try to spread the wealth evenly.	midwesterner	spread	wealth	1
64	Rumors spread that Coco was on good terms with the Germans.	rumor	spread		1
65	By the end of Bush's presidency, unemployment climbed to 7.2%.	unemployment	climb		1
66	Fate stepped in during her brother’s trip to NYC in September 2007.	fate	step		1
67	These methodological blunders escaped the notice of the eminent reviewers.	blunder	escape	notice	1
